geocode_name,year,median,mean,count
Birmingham,2016,4437.942556103363,4645.475544709685,14635
Birmingham,2017,4513.533023490209,4699.828315292125,12164
Birmingham,2018,4480.407470463916,4692.05080491288,12450
Birmingham,2019,4437.942556103363,4666.748816634016,12842
Birmingham,2020,4409.831664756067,4640.351183396367,13367
Birmingham,2021,4361.8270653845575,4615.858957218744,13652
Birmingham,2022,4361.8270653845575,4612.663649792378,13838
Birmingham,2023,4437.942556103363,4689.598918488166,12276
Birmingham,2024,4437.942556103363,4687.325957589215,12417
Birmingham,2025,4437.942556103363,4688.882052493706,12541
Liverpool,2016,2734.9526354104023,3548.7622352019944,8314
Liverpool,2017,2734.8031043633155,3373.6933540195,6318
Liverpool,2018,2734.6535733162286,3364.118295717184,6515
Liverpool,2019,2804.334875771737,3685.0785820249707,7064
Liverpool,2020,2889.523298798066,3957.2984256446307,7727
Liverpool,2021,2869.1417779053704,3940.495599852616,7846
Liverpool,2022,2869.1417779053704,3937.1190770911157,7900
Liverpool,2023,3012.9269836625726,4065.7308368999493,6856
Liverpool,2024,3012.9269836625726,4060.723804736887,6889
Liverpool,2025,2993.4198319838124,4047.6099109954853,6968
