year,grid_x,grid_y,retail_count
2016.0,-9500,-8250,3
2016.0,-9250,-9000,1
2016.0,-9000,-8500,1
2016.0,-9000,-8250,11
2016.0,-8750,-9250,6
2016.0,-8750,-8750,1
2016.0,-8750,-4000,17
2016.0,-8750,-3750,1
2016.0,-8750,-3500,1
2016.0,-8750,-2000,7
2016.0,-8500,-9750,1
2016.0,-8500,-9250,3
2016.0,-8500,-9000,2
2016.0,-8500,-8000,1
2016.0,-8500,-5750,1
2016.0,-8500,-4500,6
2016.0,-8500,-4000,1
2016.0,-8500,-2750,1
2016.0,-8500,-2000,2
2016.0,-8500,-1750,4
2016.0,-8250,-9000,1
2016.0,-8250,-5000,25
2016.0,-8250,-4750,1
2016.0,-8250,-4500,2
2016.0,-8250,-1750,4
2016.0,-8000,-10500,1
2016.0,-8000,-9750,14
2016.0,-8000,-8500,1
2016.0,-8000,-8250,1
2016.0,-8000,-7750,4
2016.0,-8000,-5250,1
2016.0,-8000,-2500,2
2016.0,-8000,-2250,5
2016.0,-7750,-10000,8
2016.0,-7750,-9250,22
2016.0,-7750,-8250,1
2016.0,-7750,-7750,8
2016.0,-7750,-5000,3
2016.0,-7750,-4750,3
2016.0,-7750,-3750,2
2016.0,-7750,-2750,3
2016.0,-7750,-2250,5
2016.0,-7750,-2000,2
2016.0,-7500,-9500,1
2016.0,-7500,-9250,18
2016.0,-7500,-8250,3
2016.0,-7500,-7750,5
2016.0,-7500,-7500,1
2016.0,-7500,-4750,1
2016.0,-7500,-4000,9
2016.0,-7500,-2000,3
2016.0,-7500,-1750,1
2016.0,-7250,-10500,1
2016.0,-7250,-9250,1
2016.0,-7250,-8750,1
2016.0,-7250,-7500,2
2016.0,-7250,-7250,1
2016.0,-7250,-4500,7
2016.0,-7250,-2750,3
2016.0,-7250,-2500,10
2016.0,-7250,-2250,7
2016.0,-7250,-1500,15
2016.0,-7000,-8750,4
2016.0,-7000,-3750,1
2016.0,-7000,-2750,10
2016.0,-7000,-1500,17
2016.0,-6750,-9250,30
2016.0,-6750,-8750,1
2016.0,-6750,-8500,18
2016.0,-6750,-7000,11
2016.0,-6750,-6000,5
2016.0,-6750,-5250,9
2016.0,-6750,-2000,2
2016.0,-6750,-1500,1
2016.0,-6500,-9750,2
2016.0,-6500,-9250,15
2016.0,-6500,-9000,3
2016.0,-6500,-8250,30
2016.0,-6500,-7000,1
2016.0,-6500,-4250,10
2016.0,-6500,-4000,2
2016.0,-6500,-3000,7
2016.0,-6500,-2500,1
2016.0,-6500,-2000,11
2016.0,-6250,-10000,4
2016.0,-6250,-9500,2
2016.0,-6250,-8250,2
2016.0,-6250,-8000,6
2016.0,-6250,-6500,1
2016.0,-6250,-4250,1
2016.0,-6250,-4000,4
2016.0,-6250,-2750,5
2016.0,-6250,-2000,1
2016.0,-6000,-9750,1
2016.0,-6000,-9500,1
2016.0,-6000,-8500,1
2016.0,-6000,-7500,12
2016.0,-6000,-7250,82
2016.0,-6000,-7000,57
2016.0,-6000,-6750,1
2016.0,-6000,-5750,8
2016.0,-6000,-5500,2
2016.0,-6000,-5000,1
2016.0,-6000,-4500,13
2016.0,-6000,-4000,1
2016.0,-6000,-2750,1
2016.0,-6000,-2000,22
2016.0,-5750,-9500,4
2016.0,-5750,-8500,6
2016.0,-5750,-7250,1
2016.0,-5750,-7000,142
2016.0,-5750,-6750,27
2016.0,-5750,-4750,6
2016.0,-5750,-4500,38
2016.0,-5750,-4000,1
2016.0,-5750,-3750,2
2016.0,-5750,-2500,1
2016.0,-5750,-2000,1
2016.0,-5750,-1500,1
2016.0,-5750,-250,1
2016.0,-5500,-9000,22
2016.0,-5500,-8750,1
2016.0,-5500,-8250,4
2016.0,-5500,-7750,20
2016.0,-5500,-7500,1
2016.0,-5500,-7250,1
2016.0,-5500,-6750,9
2016.0,-5500,-4500,9
2016.0,-5500,-3750,2
2016.0,-5500,-3500,6
2016.0,-5500,-3250,1
2016.0,-5500,-2750,4
2016.0,-5500,-2500,10
2016.0,-5500,-1500,1
2016.0,-5500,-750,1
2016.0,-5500,-500,1
2016.0,-5250,-9000,29
2016.0,-5250,-8750,4
2016.0,-5250,-7750,9
2016.0,-5250,-6500,1
2016.0,-5250,-5500,3
2016.0,-5250,-4750,6
2016.0,-5250,-2750,2
2016.0,-5250,-2500,3
2016.0,-5250,-2250,2
2016.0,-5250,-750,1
2016.0,-5250,0,4
2016.0,-5250,250,1
2016.0,-5250,3250,4
2016.0,-5000,-9750,1
2016.0,-5000,-9250,1
2016.0,-5000,-9000,2
2016.0,-5000,-8500,9
2016.0,-5000,-6000,2
2016.0,-5000,-5500,6
2016.0,-5000,-4000,7
2016.0,-5000,-3500,1
2016.0,-5000,-3250,9
2016.0,-5000,-2500,11
2016.0,-5000,-2250,34
2016.0,-5000,-1750,5
2016.0,-5000,-750,2
2016.0,-5000,-500,12
2016.0,-5000,250,2
2016.0,-5000,2750,3
2016.0,-5000,3000,2
2016.0,-5000,3250,5
2016.0,-5000,3500,1
2016.0,-4750,-9250,1
2016.0,-4750,-6750,2
2016.0,-4750,-5500,3
2016.0,-4750,-2500,5
2016.0,-4750,-2250,17
2016.0,-4750,-1250,9
2016.0,-4750,0,1
2016.0,-4750,3000,3
2016.0,-4750,3250,17
2016.0,-4500,-9000,3
2016.0,-4500,-7750,15
2016.0,-4500,-7250,1
2016.0,-4500,-6750,2
2016.0,-4500,-6500,1
2016.0,-4500,-5750,2
2016.0,-4500,-4500,1
2016.0,-4500,-4250,9
2016.0,-4500,-3750,8
2016.0,-4500,-3000,1
2016.0,-4500,-2500,1
2016.0,-4500,-2250,38
2016.0,-4500,500,1
2016.0,-4500,2750,1
2016.0,-4500,3000,28
2016.0,-4500,3250,7
2016.0,-4500,3750,6
2016.0,-4250,-9500,2
2016.0,-4250,-9000,9
2016.0,-4250,-8750,1
2016.0,-4250,-8500,1
2016.0,-4250,-8250,4
2016.0,-4250,-3500,11
2016.0,-4250,-3250,2
2016.0,-4250,-2750,1
2016.0,-4250,-2250,38
2016.0,-4250,-2000,55
2016.0,-4250,-1750,7
2016.0,-4250,500,1
2016.0,-4250,750,3
2016.0,-4250,1000,58
2016.0,-4250,2500,2
2016.0,-4250,2750,2
2016.0,-4250,3000,3
2016.0,-4250,3750,1
2016.0,-4250,4000,3
2016.0,-4000,-5000,1
2016.0,-4000,-4500,1
2016.0,-4000,-4250,3
2016.0,-4000,-3250,1
2016.0,-4000,-2250,1
2016.0,-4000,-2000,22
2016.0,-4000,-1750,1
2016.0,-4000,750,28
2016.0,-4000,1000,21
2016.0,-4000,1500,1
2016.0,-4000,1750,1
2016.0,-4000,2750,4
2016.0,-4000,3000,9
2016.0,-4000,3250,2
2016.0,-4000,3750,3
2016.0,-4000,4000,1
2016.0,-3750,-4500,36
2016.0,-3750,-4250,28
2016.0,-3750,-4000,15
2016.0,-3750,-2750,4
2016.0,-3750,-750,9
2016.0,-3750,-500,1
2016.0,-3750,750,21
2016.0,-3750,1000,1
2016.0,-3750,1250,2
2016.0,-3750,1500,10
2016.0,-3750,1750,4
2016.0,-3750,2000,2
2016.0,-3750,2500,10
2016.0,-3750,2750,87
2016.0,-3750,3000,5
2016.0,-3750,3250,27
2016.0,-3750,3500,32
2016.0,-3750,3750,48
2016.0,-3750,4000,14
2016.0,-3750,5500,6
2016.0,-3500,-9250,10
2016.0,-3500,-9000,6
2016.0,-3500,-7500,2
2016.0,-3500,-7250,3
2016.0,-3500,-6500,1
2016.0,-3500,-6000,13
2016.0,-3500,-5500,1
2016.0,-3500,-5250,1
2016.0,-3500,-5000,1
2016.0,-3500,-4500,2
2016.0,-3500,-4250,1
2016.0,-3500,-4000,13
2016.0,-3500,-3750,33
2016.0,-3500,-2500,4
2016.0,-3500,-2000,1
2016.0,-3500,-1250,13
2016.0,-3500,-750,3
2016.0,-3500,-250,1
2016.0,-3500,500,2
2016.0,-3500,750,17
2016.0,-3500,1000,14
2016.0,-3500,1750,11
2016.0,-3500,2000,3
2016.0,-3500,2500,1
2016.0,-3500,2750,137
2016.0,-3500,3000,6
2016.0,-3500,3250,2
2016.0,-3500,3500,1
2016.0,-3500,3750,2
2016.0,-3500,4000,23
2016.0,-3500,4250,1
2016.0,-3250,-8000,13
2016.0,-3250,-7250,4
2016.0,-3250,-7000,15
2016.0,-3250,-6750,28
2016.0,-3250,-6000,6
2016.0,-3250,-5250,14
2016.0,-3250,-4500,2
2016.0,-3250,-4250,3
2016.0,-3250,-4000,1
2016.0,-3250,-3750,21
2016.0,-3250,-3500,48
2016.0,-3250,-2750,1
2016.0,-3250,-750,41
2016.0,-3250,-500,3
2016.0,-3250,-250,3
2016.0,-3250,250,10
2016.0,-3250,500,5
2016.0,-3250,750,1
2016.0,-3250,1000,1
2016.0,-3250,1750,2
2016.0,-3250,2250,2
2016.0,-3250,2500,27
2016.0,-3250,2750,68
2016.0,-3250,3000,36
2016.0,-3250,3250,9
2016.0,-3250,3500,4
2016.0,-3250,3750,6
2016.0,-3250,4000,9
2016.0,-3250,5250,5
2016.0,-3250,7250,29
2016.0,-3250,7500,2
2016.0,-3000,-9000,1
2016.0,-3000,-8000,23
2016.0,-3000,-7750,10
2016.0,-3000,-7000,65
2016.0,-3000,-6750,8
2016.0,-3000,-5750,2
2016.0,-3000,-4750,15
2016.0,-3000,-4500,23
2016.0,-3000,-4250,2
2016.0,-3000,-4000,2
2016.0,-3000,-3750,1
2016.0,-3000,-3000,4
2016.0,-3000,-2750,23
2016.0,-3000,-750,4
2016.0,-3000,-500,2
2016.0,-3000,250,7
2016.0,-3000,1000,7
2016.0,-3000,2000,4
2016.0,-3000,2250,10
2016.0,-3000,2500,46
2016.0,-3000,2750,14
2016.0,-3000,3000,2
2016.0,-3000,3750,1
2016.0,-3000,5250,2
2016.0,-3000,5750,9
2016.0,-3000,6000,22
2016.0,-3000,6500,3
2016.0,-2750,-8500,13
2016.0,-2750,-7750,1
2016.0,-2750,-7000,1
2016.0,-2750,-6750,28
2016.0,-2750,-6500,2
2016.0,-2750,-6250,1
2016.0,-2750,-6000,3
2016.0,-2750,-5750,6
2016.0,-2750,-5500,19
2016.0,-2750,-4500,1
2016.0,-2750,-3500,1
2016.0,-2750,-2500,1
2016.0,-2750,-1000,3
2016.0,-2750,-750,9
2016.0,-2750,-500,1
2016.0,-2750,-250,2
2016.0,-2750,0,19
2016.0,-2750,250,6
2016.0,-2750,500,4
2016.0,-2750,750,14
2016.0,-2750,1250,11
2016.0,-2750,1750,5
2016.0,-2750,2000,4
2016.0,-2750,2250,10
2016.0,-2750,2500,14
2016.0,-2750,4750,8
2016.0,-2750,5500,5
2016.0,-2750,6750,2
2016.0,-2500,-7750,2
2016.0,-2500,-7250,1
2016.0,-2500,-6500,14
2016.0,-2500,-6250,12
2016.0,-2500,-6000,54
2016.0,-2500,-5750,77
2016.0,-2500,-5500,10
2016.0,-2500,-5250,40
2016.0,-2500,-5000,4
2016.0,-2500,-1000,4
2016.0,-2500,-750,20
2016.0,-2500,-500,13
2016.0,-2500,-250,1
2016.0,-2500,0,5
2016.0,-2500,500,10
2016.0,-2500,750,18
2016.0,-2500,1500,1
2016.0,-2500,2250,14
2016.0,-2500,2500,7
2016.0,-2500,2750,1
2016.0,-2500,3000,2
2016.0,-2500,3750,1
2016.0,-2500,5750,12
2016.0,-2500,6250,15
2016.0,-2500,6500,1
2016.0,-2500,6750,3
2016.0,-2250,-8250,1
2016.0,-2250,-7750,4
2016.0,-2250,-6000,1
2016.0,-2250,-5000,10
2016.0,-2250,-4750,17
2016.0,-2250,-4500,6
2016.0,-2250,-750,33
2016.0,-2250,-500,9
2016.0,-2250,-250,16
2016.0,-2250,0,5
2016.0,-2250,500,12
2016.0,-2250,750,2
2016.0,-2250,1000,5
2016.0,-2250,1500,27
2016.0,-2250,2000,17
2016.0,-2250,2250,3
2016.0,-2250,2500,13
2016.0,-2250,2750,31
2016.0,-2250,3500,5
2016.0,-2250,6000,5
2016.0,-2250,6250,3
2016.0,-2250,7000,10
2016.0,-2250,7500,2
2016.0,-2000,-7250,1
2016.0,-2000,-6500,1
2016.0,-2000,-6000,2
2016.0,-2000,-4500,3
2016.0,-2000,-4250,4
2016.0,-2000,-4000,6
2016.0,-2000,-3750,2
2016.0,-2000,-3500,15
2016.0,-2000,-3250,2
2016.0,-2000,-1500,9
2016.0,-2000,-750,1
2016.0,-2000,-500,34
2016.0,-2000,-250,17
2016.0,-2000,0,29
2016.0,-2000,250,10
2016.0,-2000,500,12
2016.0,-2000,750,27
2016.0,-2000,1000,45
2016.0,-2000,1250,71
2016.0,-2000,1500,35
2016.0,-2000,1750,22
2016.0,-2000,2000,4
2016.0,-2000,2750,25
2016.0,-2000,3250,2
2016.0,-2000,3500,7
2016.0,-2000,4000,2
2016.0,-2000,6750,1
2016.0,-2000,7500,2
2016.0,-2000,7750,1
2016.0,-1750,-8250,1
2016.0,-1750,-7500,8
2016.0,-1750,-6000,1
2016.0,-1750,-5750,1
2016.0,-1750,-4750,4
2016.0,-1750,-4500,6
2016.0,-1750,-2000,1
2016.0,-1750,-1250,1
2016.0,-1750,-1000,1
2016.0,-1750,-750,1
2016.0,-1750,-500,1
2016.0,-1750,-250,17
2016.0,-1750,0,28
2016.0,-1750,250,2
2016.0,-1750,500,8
2016.0,-1750,750,37
2016.0,-1750,1000,107
2016.0,-1750,1250,55
2016.0,-1750,1500,5
2016.0,-1750,1750,1
2016.0,-1750,2250,8
2016.0,-1750,2500,7
2016.0,-1750,2750,44
2016.0,-1750,3000,5
2016.0,-1750,3250,11
2016.0,-1750,3500,7
2016.0,-1750,3750,2
2016.0,-1750,4000,3
2016.0,-1750,5750,14
2016.0,-1750,6250,1
2016.0,-1750,6500,8
2016.0,-1750,8000,3
2016.0,-1500,-7750,1
2016.0,-1500,-6750,9
2016.0,-1500,-6000,1
2016.0,-1500,-5750,39
2016.0,-1500,-5500,1
2016.0,-1500,-2750,1
2016.0,-1500,-2500,9
2016.0,-1500,-1500,1
2016.0,-1500,-750,3
2016.0,-1500,-500,50
2016.0,-1500,-250,46
2016.0,-1500,0,2
2016.0,-1500,250,46
2016.0,-1500,500,20
2016.0,-1500,750,21
2016.0,-1500,1000,24
2016.0,-1500,1250,5
2016.0,-1500,1500,14
2016.0,-1500,2500,11
2016.0,-1500,2750,51
2016.0,-1500,3000,3
2016.0,-1500,3250,10
2016.0,-1500,4000,1
2016.0,-1500,4250,2
2016.0,-1500,6250,20
2016.0,-1500,8000,5
2016.0,-1500,8250,4
2016.0,-1250,-7250,4
2016.0,-1250,-6250,2
2016.0,-1250,-5750,1
2016.0,-1250,-5500,1
2016.0,-1250,-5000,2
2016.0,-1250,-1750,9
2016.0,-1250,-1500,2
2016.0,-1250,-750,1
2016.0,-1250,-500,11
2016.0,-1250,-250,59
2016.0,-1250,0,73
2016.0,-1250,250,45
2016.0,-1250,500,34
2016.0,-1250,750,21
2016.0,-1250,1000,29
2016.0,-1250,1500,1
2016.0,-1250,1750,2
2016.0,-1250,2000,11
2016.0,-1250,2500,32
2016.0,-1250,2750,1
2016.0,-1250,3000,1
2016.0,-1250,3250,21
2016.0,-1250,3750,5
2016.0,-1250,4000,65
2016.0,-1250,4250,124
2016.0,-1250,4500,61
2016.0,-1250,5250,11
2016.0,-1250,6250,1
2016.0,-1250,6750,6
2016.0,-1250,7000,2
2016.0,-1250,7250,12
2016.0,-1000,-8000,8
2016.0,-1000,-7500,1
2016.0,-1000,-6500,8
2016.0,-1000,-5250,1
2016.0,-1000,-5000,5
2016.0,-1000,-4750,5
2016.0,-1000,-2750,1
2016.0,-1000,-2250,1
2016.0,-1000,-1000,6
2016.0,-1000,-750,44
2016.0,-1000,-500,97
2016.0,-1000,-250,139
2016.0,-1000,0,360
2016.0,-1000,250,126
2016.0,-1000,500,14
2016.0,-1000,750,2
2016.0,-1000,1000,5
2016.0,-1000,1250,4
2016.0,-1000,1500,11
2016.0,-1000,1750,1
2016.0,-1000,2000,2
2016.0,-1000,2500,1
2016.0,-1000,2750,30
2016.0,-1000,3000,2
2016.0,-1000,3750,3
2016.0,-1000,4000,9
2016.0,-1000,4250,1
2016.0,-1000,4500,1
2016.0,-1000,4750,1
2016.0,-1000,5250,3
2016.0,-1000,6000,3
2016.0,-1000,6250,1
2016.0,-1000,6750,3
2016.0,-1000,8000,9
2016.0,-750,-8250,1
2016.0,-750,-8000,1
2016.0,-750,-6500,2
2016.0,-750,-6250,3
2016.0,-750,-5250,18
2016.0,-750,-5000,31
2016.0,-750,-4750,13
2016.0,-750,-4500,4
2016.0,-750,-3250,1
2016.0,-750,-2500,4
2016.0,-750,-2250,30
2016.0,-750,-1000,13
2016.0,-750,-750,29
2016.0,-750,-500,37
2016.0,-750,-250,419
2016.0,-750,0,222
2016.0,-750,250,175
2016.0,-750,500,68
2016.0,-750,750,3
2016.0,-750,1000,4
2016.0,-750,1250,13
2016.0,-750,1500,4
2016.0,-750,1750,1
2016.0,-750,2000,27
2016.0,-750,2250,5
2016.0,-750,2500,1
2016.0,-750,2750,6
2016.0,-750,3000,7
2016.0,-750,3500,1
2016.0,-750,3750,1
2016.0,-750,4250,1
2016.0,-750,4500,3
2016.0,-750,5250,1
2016.0,-750,5500,10
2016.0,-750,5750,2
2016.0,-750,6250,4
2016.0,-750,6500,8
2016.0,-750,6750,6
2016.0,-750,7000,4
2016.0,-750,7250,1
2016.0,-750,8250,6
2016.0,-750,9000,7
2016.0,-500,-7750,1
2016.0,-500,-7000,1
2016.0,-500,-6500,10
2016.0,-500,-6250,9
2016.0,-500,-6000,7
2016.0,-500,-5750,4
2016.0,-500,-5250,31
2016.0,-500,-5000,67
2016.0,-500,-4750,114
2016.0,-500,-4500,28
2016.0,-500,-3750,6
2016.0,-500,-3500,1
2016.0,-500,-3250,1
2016.0,-500,-2750,5
2016.0,-500,-2500,20
2016.0,-500,-2250,3
2016.0,-500,-1500,29
2016.0,-500,-1250,8
2016.0,-500,-1000,17
2016.0,-500,-750,13
2016.0,-500,-500,2
2016.0,-500,-250,37
2016.0,-500,0,11
2016.0,-500,250,18
2016.0,-500,500,34
2016.0,-500,750,19
2016.0,-500,1000,8
2016.0,-500,1250,1
2016.0,-500,1500,2
2016.0,-500,2250,1
2016.0,-500,2750,5
2016.0,-500,3000,20
2016.0,-500,3250,40
2016.0,-500,3500,6
2016.0,-500,3750,6
2016.0,-500,4000,4
2016.0,-500,4750,1
2016.0,-500,5750,4
2016.0,-500,6250,4
2016.0,-500,7000,3
2016.0,-500,7500,1
2016.0,-500,8250,6
2016.0,-500,8750,12
2016.0,-500,9250,1
2016.0,-250,-8250,1
2016.0,-250,-8000,30
2016.0,-250,-7500,21
2016.0,-250,-5250,4
2016.0,-250,-5000,2
2016.0,-250,-4500,4
2016.0,-250,-3750,16
2016.0,-250,-3500,81
2016.0,-250,-3250,21
2016.0,-250,-3000,2
2016.0,-250,-2750,9
2016.0,-250,-2500,31
2016.0,-250,-2250,1
2016.0,-250,-1500,2
2016.0,-250,-1250,2
2016.0,-250,-1000,5
2016.0,-250,-750,5
2016.0,-250,-500,14
2016.0,-250,-250,24
2016.0,-250,0,6
2016.0,-250,250,6
2016.0,-250,500,5
2016.0,-250,1000,2
2016.0,-250,1500,17
2016.0,-250,2000,29
