city,grid_id,grid_x,grid_y,business_count_2016,vacancy_rate_2016,business_diversity_2016,rateable_value_total_2016,rateable_value_median_2016,known_occupation_count_2016,business_count_2025,vacancy_rate_2025,business_diversity_2025,rateable_value_total_2025,rateable_value_median_2025,known_occupation_count_2025,business_count_change,business_count_pct_change,vacancy_rate_pp_change,business_diversity_change,rateable_value_total_change,rateable_value_total_pct_change,cell_status
Birmingham,Birmingham_398250_278250,398250,278250,3.0,0.0,0.6365141682948128,25200.0,9500.0,3.0,3.0,,1.0986122886681096,24300.0,6100.0,0.0,0.0,0.0,,0.4620981203732968,-900.0,-3.571428571428571,persistent
Birmingham,Birmingham_398750_277500,398750,277500,1.0,0.0,-0.0,7600.0,7600.0,1.0,1.0,,-0.0,16000.0,16000.0,0.0,0.0,0.0,,0.0,8400.0,110.5263157894737,persistent
Birmingham,Birmingham_398750_278000,398750,278000,1.0,1.0,-0.0,38000.0,38000.0,1.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_398750_278250,398750,278250,11.0,0.0,0.30463609734923813,83000.0,5300.0,7.0,10.0,0.0,0.3250829733914482,93300.0,6550.0,5.0,-1.0,-9.090909090909092,0.0,0.02044687604221007,10300.0,12.409638554216867,declined
Birmingham,Birmingham_399000_277250,399000,277250,2.0,0.0,-0.0,116000.0,116000.0,1.0,1.0,0.0,-0.0,146000.0,146000.0,1.0,-1.0,-50.0,0.0,0.0,30000.0,25.862068965517242,declined
Birmingham,Birmingham_399000_282500,399000,282500,1.0,0.0,-0.0,8000.0,8000.0,1.0,1.0,,-0.0,9300.0,9300.0,0.0,0.0,0.0,,0.0,1300.0,16.25,persistent
Birmingham,Birmingham_399000_282750,399000,282750,1.0,0.0,-0.0,2650.0,2650.0,1.0,1.0,0.0,-0.0,4150.0,4150.0,1.0,0.0,0.0,0.0,0.0,1500.0,56.60377358490566,persistent
Birmingham,Birmingham_399000_283000,399000,283000,1.0,0.0,-0.0,44500.0,44500.0,1.0,1.0,,-0.0,28000.0,28000.0,0.0,0.0,0.0,,0.0,-16500.0,-37.07865168539326,persistent
Birmingham,Birmingham_399000_284750,399000,284750,2.0,0.0,0.6931471805599453,12150.0,6075.0,2.0,2.0,0.0,0.6931471805599453,21300.0,10650.0,2.0,0.0,0.0,0.0,0.0,9150.0,75.30864197530865,persistent
Birmingham,Birmingham_399250_276750,399250,276750,1.0,0.0,-0.0,11250.0,11250.0,1.0,1.0,,-0.0,3100.0,3100.0,0.0,0.0,0.0,,0.0,-8150.0,-72.44444444444444,persistent
Birmingham,Birmingham_399250_277250,399250,277250,4.0,0.0,-0.0,21000.0,5250.0,4.0,4.0,0.25,-0.0,34500.0,8650.0,4.0,0.0,0.0,25.0,0.0,13500.0,64.28571428571429,persistent
Birmingham,Birmingham_399250_277500,399250,277500,2.0,0.0,-0.0,156500.0,78250.0,1.0,2.0,0.0,-0.0,122500.0,61250.0,1.0,0.0,0.0,0.0,0.0,-34000.0,-21.72523961661342,persistent
Birmingham,Birmingham_399250_278000,399250,278000,1.0,,-0.0,,,0.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_399250_278750,399250,278750,1.0,0.0,-0.0,8500.0,8500.0,1.0,1.0,,-0.0,11500.0,11500.0,0.0,0.0,0.0,,0.0,3000.0,35.294117647058826,persistent
Birmingham,Birmingham_399250_281000,399250,281000,1.0,0.0,-0.0,5400.0,5400.0,1.0,1.0,0.0,-0.0,6400.0,6400.0,1.0,0.0,0.0,0.0,0.0,1000.0,18.51851851851852,persistent
Birmingham,Birmingham_399250_282000,399250,282000,6.0,0.0,-0.0,30200.0,3775.0,4.0,6.0,0.0,0.45056120886630463,38000.0,4475.0,5.0,0.0,0.0,0.0,0.45056120886630463,7800.0,25.82781456953642,persistent
Birmingham,Birmingham_399250_282500,399250,282500,1.0,0.0,-0.0,4600.0,4600.0,1.0,1.0,0.0,-0.0,5200.0,5200.0,1.0,0.0,0.0,0.0,0.0,600.0,13.043478260869565,persistent
Birmingham,Birmingham_399250_282750,399250,282750,16.0,0.0,0.2337916587064593,47050.0,5400.0,6.0,7.0,0.0,0.410116318288409,56250.0,9200.0,4.0,-9.0,-56.25,0.0,0.1763246595819497,9200.0,19.55366631243358,declined
Birmingham,Birmingham_399250_283750,399250,283750,1.0,0.0,-0.0,130000.0,130000.0,1.0,1.0,,-0.0,,,0.0,0.0,0.0,,0.0,,,persistent
Birmingham,Birmingham_399250_284750,399250,284750,11.0,0.0,-0.0,63855.0,2550.0,7.0,9.0,0.0,-0.0,78210.0,4000.0,8.0,-2.0,-18.181818181818183,0.0,0.0,14355.0,22.48062015503876,declined
Birmingham,Birmingham_399500_277500,399500,277500,3.0,0.0,-0.0,1450000.0,1450000.0,1.0,3.0,0.0,0.6365141682948128,1530000.0,765000.0,2.0,0.0,0.0,0.0,0.6365141682948128,80000.0,5.517241379310345,persistent
Birmingham,Birmingham_399500_277750,399500,277750,1.0,,-0.0,185000.0,185000.0,0.0,1.0,0.0,-0.0,155000.0,155000.0,1.0,0.0,0.0,,0.0,-30000.0,-16.216216216216218,persistent
Birmingham,Birmingham_399500_281500,399500,281500,23.0,0.06666666666666667,-0.0,82825.0,2625.0,15.0,22.0,0.0,0.18490739916777568,127525.0,4650.0,12.0,-1.0,-4.3478260869565215,-6.666666666666667,0.18490739916777568,44700.0,53.969212194385754,declined
Birmingham,Birmingham_399500_281750,399500,281750,2.0,,0.6931471805599453,2800.0,2800.0,0.0,1.0,0.0,-0.0,4800.0,4800.0,1.0,-1.0,-50.0,,-0.6931471805599453,2000.0,71.42857142857143,declined
Birmingham,Birmingham_399500_284750,399500,284750,4.0,0.0,-0.0,13000.0,3600.0,1.0,3.0,0.0,-0.0,25100.0,8700.0,2.0,-1.0,-25.0,0.0,0.0,12100.0,93.07692307692308,declined
Birmingham,Birmingham_399750_276750,399750,276750,14.0,0.0,0.25731864054383163,83225.0,2900.0,6.0,12.0,0.0,0.2868359830561607,66700.0,4400.0,8.0,-2.0,-14.285714285714285,0.0,0.02951734251232907,-16525.0,-19.855812556323222,declined
Birmingham,Birmingham_399750_278250,399750,278250,1.0,0.0,-0.0,5500.0,5500.0,1.0,1.0,,-0.0,10250.0,10250.0,0.0,0.0,0.0,,0.0,4750.0,86.36363636363636,persistent
Birmingham,Birmingham_399750_278750,399750,278750,4.0,0.0,0.5623351446188083,25850.0,5500.0,3.0,4.0,0.0,0.5623351446188083,30750.0,6250.0,3.0,0.0,0.0,0.0,0.0,4900.0,18.95551257253385,persistent
Birmingham,Birmingham_399750_281250,399750,281250,1.0,0.0,-0.0,6200.0,6200.0,1.0,1.0,,-0.0,4000.0,4000.0,0.0,0.0,0.0,,0.0,-2200.0,-35.483870967741936,persistent
Birmingham,Birmingham_399750_281750,399750,281750,1.0,0.0,-0.0,3050.0,3050.0,1.0,1.0,0.0,-0.0,5100.0,5100.0,1.0,0.0,0.0,0.0,0.0,2050.0,67.21311475409836,persistent
Birmingham,Birmingham_399750_282000,399750,282000,2.0,1.0,-0.0,4300.0,2150.0,1.0,2.0,0.5,-0.0,7350.0,3675.0,2.0,0.0,0.0,-50.0,0.0,3050.0,70.93023255813954,persistent
Birmingham,Birmingham_399750_284000,399750,284000,2.0,0.0,-0.0,14000.0,7000.0,2.0,2.0,,-0.0,21550.0,10775.0,0.0,0.0,0.0,,0.0,7550.0,53.92857142857142,persistent
Birmingham,Birmingham_399750_284250,399750,284250,3.0,0.0,-0.0,14550.0,4850.0,2.0,3.0,0.0,-0.0,22500.0,7500.0,2.0,0.0,0.0,0.0,0.0,7950.0,54.63917525773196,persistent
Birmingham,Birmingham_399750_284500,399750,284500,2.0,0.0,-0.0,497500.0,497500.0,1.0,1.0,0.0,-0.0,477500.0,477500.0,1.0,-1.0,-50.0,0.0,0.0,-20000.0,-4.0201005025125625,declined
Birmingham,Birmingham_400000_276250,400000,276250,1.0,0.0,-0.0,13250.0,13250.0,1.0,1.0,,-0.0,19500.0,19500.0,0.0,0.0,0.0,,0.0,6250.0,47.16981132075472,persistent
Birmingham,Birmingham_400000_276750,400000,276750,8.0,0.0,-0.0,27675.0,2925.0,5.0,8.0,0.2,-0.0,44150.0,4750.0,5.0,0.0,0.0,20.0,0.0,16475.0,59.53026196928636,persistent
Birmingham,Birmingham_400000_277250,400000,277250,1.0,0.0,-0.0,4100.0,4100.0,1.0,2.0,0.0,-0.0,19700.0,9850.0,1.0,1.0,100.0,0.0,0.0,15600.0,380.4878048780488,intensified
Birmingham,Birmingham_400000_277500,400000,277500,9.0,0.0,0.5297061990576545,78950.0,12750.0,5.0,7.0,0.2,0.410116318288409,102500.0,11750.0,5.0,-2.0,-22.22222222222222,20.0,-0.11958988076924548,23550.0,29.829005699810008,declined
Birmingham,Birmingham_400000_278250,400000,278250,2.0,0.0,-0.0,11000.0,11000.0,1.0,1.0,,-0.0,12000.0,12000.0,0.0,-1.0,-50.0,,0.0,1000.0,9.090909090909092,declined
Birmingham,Birmingham_400000_283000,400000,283000,1.0,1.0,-0.0,8200.0,8200.0,1.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_400000_284500,400000,284500,2.0,0.0,-0.0,1525.0,1525.0,1.0,1.0,,-0.0,2350.0,2350.0,0.0,-1.0,-50.0,,0.0,825.0,54.09836065573771,declined
Birmingham,Birmingham_400250_277500,400250,277500,22.0,0.07692307692307693,1.0335620542068176,231350.0,5300.0,13.0,19.0,0.1111111111111111,0.708018976056273,294750.0,8100.0,9.0,-3.0,-13.636363636363635,3.4188034188034178,-0.3255430781505446,63400.0,27.40436567970607,declined
Birmingham,Birmingham_400250_278750,400250,278750,13.0,0.14285714285714285,0.2711893730418441,60975.0,3775.0,7.0,8.0,0.0,0.37677016125643675,98600.0,5850.0,7.0,-5.0,-38.46153846153847,-14.285714285714285,0.10558078821459266,37625.0,61.70561705617056,declined
Birmingham,Birmingham_400250_281750,400250,281750,6.0,0.0,-0.0,26900.0,4200.0,2.0,5.0,0.0,0.5004024235381879,56400.0,7300.0,2.0,-1.0,-16.666666666666664,0.0,0.5004024235381879,29500.0,109.66542750929369,declined
Birmingham,Birmingham_400250_282000,400250,282000,1.0,0.0,-0.0,25000.0,25000.0,1.0,1.0,0.0,-0.0,3100.0,3100.0,1.0,0.0,0.0,0.0,0.0,-21900.0,-87.6,persistent
