"city","grid_id","grid_x","grid_y","floor_area_total_2016","floor_area_total_2025","floor_area_change","floor_area_change_class"
"Birmingham","Birmingham_4e+05_276250",4e+05,276250,129.94,129.9,-0.039999999999992,"Decrease 1-500 sqm"
"Birmingham","Birmingham_400500_276250",400500,276250,1692,1692,0,"No change"
"Birmingham","Birmingham_399750_276750",399750,276750,920.25,799.95,-120.3,"Decrease 1-500 sqm"
"Birmingham","Birmingham_4e+05_276750",4e+05,276750,620.23,614.03,-6.20000000000005,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401500_276750",401500,276750,326.4,290.4,-36,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402000_276750",402000,276750,9.16,0,-9.16,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402750_276750",402750,276750,159,159,0,"No change"
"Birmingham","Birmingham_400500_277000",400500,277000,58,58,0,"No change"
"Birmingham","Birmingham_401500_277000",401500,277000,165.3,113.9,-51.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402250_277000",402250,277000,245.6,183.8,-61.8,"Decrease 1-500 sqm"
"Birmingham","Birmingham_403750_277000",403750,277000,362.7,362.7,0,"No change"
"Birmingham","Birmingham_399000_277250",399000,277250,3441.52,1720.76,-1720.76,"Decrease > 500 sqm"
"Birmingham","Birmingham_399250_277250",399250,277250,283.4,283.4,0,"No change"
"Birmingham","Birmingham_4e+05_277250",4e+05,277250,91,276.8,185.8,"Increase 1-500 sqm"
"Birmingham","Birmingham_400500_277250",400500,277250,986.7,605.1,-381.6,"Decrease 1-500 sqm"
"Birmingham","Birmingham_400750_277250",400750,277250,0,286.85,286.85,"Increase 1-500 sqm"
"Birmingham","Birmingham_401000_277250",401000,277250,29793.6,28799.19,-994.41,"Decrease > 500 sqm"
"Birmingham","Birmingham_401250_277250",401250,277250,1120.42,1014.52,-105.9,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401500_277250",401500,277250,342.9,228,-114.9,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401750_277250",401750,277250,70.3,70.3,0,"No change"
"Birmingham","Birmingham_402750_277250",402750,277250,121,0,-121,"Decrease 1-500 sqm"
"Birmingham","Birmingham_403750_277250",403750,277250,77.7,77.7,0,"No change"
"Birmingham","Birmingham_404250_277250",404250,277250,1446.14,1200.14,-246,"Decrease 1-500 sqm"
"Birmingham","Birmingham_398750_277500",398750,277500,203.9,202.4,-1.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_399250_277500",399250,277500,713.59,713.59,0,"No change"
"Birmingham","Birmingham_399500_277500",399500,277500,17500.8,16436.1,-1064.7,"Decrease > 500 sqm"
"Birmingham","Birmingham_4e+05_277500",4e+05,277500,1494.62,1129.63,-364.99,"Decrease 1-500 sqm"
"Birmingham","Birmingham_400250_277500",400250,277500,2663.91,2356.61,-307.3,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401250_277500",401250,277500,19134.82,303.86,-18830.96,"Decrease > 500 sqm"
"Birmingham","Birmingham_402250_277500",402250,277500,2245.72,2008.02,-237.7,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402750_277500",402750,277500,64.8,64.8,0,"No change"
"Birmingham","Birmingham_403500_277500",403500,277500,1313.86,1045.26,-268.6,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404750_277500",404750,277500,66.9,66.9,0,"No change"
"Birmingham","Birmingham_400750_277750",400750,277750,69,69,0,"No change"
"Birmingham","Birmingham_401000_277750",401000,277750,314.48,200.08,-114.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401250_277750",401250,277750,101.37,201.37,100,"Increase 1-500 sqm"
"Birmingham","Birmingham_401500_277750",401500,277750,417.5,0,-417.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402250_277750",402250,277750,122.4,122.4,0,"No change"
"Birmingham","Birmingham_402500_277750",402500,277750,41.8,139.3,97.5,"Increase 1-500 sqm"
"Birmingham","Birmingham_402750_277750",402750,277750,3986.2,2793.99,-1192.21,"Decrease > 500 sqm"
"Birmingham","Birmingham_403500_277750",403500,277750,78.2,78.6,0.399999999999991,"Increase 1-500 sqm"
"Birmingham","Birmingham_403750_277750",403750,277750,126.79,110.53,-16.26,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404250_277750",404250,277750,430.3,1529.83,1099.53,"Increase > 500 sqm"
"Birmingham","Birmingham_399250_278000",399250,278000,4085.6,0,-4085.6,"Decrease > 500 sqm"
"Birmingham","Birmingham_402750_278000",402750,278000,597.5,0,-597.5,"Decrease > 500 sqm"
"Birmingham","Birmingham_403500_278000",403500,278000,82.2,82.2,0,"No change"
"Birmingham","Birmingham_405000_278000",405000,278000,1335.9,1335.9,0,"No change"
"Birmingham","Birmingham_398250_278250",398250,278250,309.5,309.5,0,"No change"
"Birmingham","Birmingham_398750_278250",398750,278250,2544.12,1604.72,-939.4,"Decrease > 500 sqm"
"Birmingham","Birmingham_399750_278250",399750,278250,88.2,88.2,0,"No change"
"Birmingham","Birmingham_4e+05_278250",4e+05,278250,195.8,44.3,-151.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401250_278250",401250,278250,3212.02,1988.72,-1223.3,"Decrease > 500 sqm"
"Birmingham","Birmingham_401750_278250",401750,278250,128.03,128.03,0,"No change"
"Birmingham","Birmingham_402000_278250",402000,278250,984.15,1006.11,21.96,"Increase 1-500 sqm"
"Birmingham","Birmingham_402250_278250",402250,278250,215.6,215.6,0,"No change"
"Birmingham","Birmingham_405000_278250",405000,278250,0,363.34,363.34,"Increase 1-500 sqm"
"Birmingham","Birmingham_405500_278250",405500,278250,133.5,133.5,0,"No change"
"Birmingham","Birmingham_407000_278250",407000,278250,59.2,59.2,0,"No change"
"Birmingham","Birmingham_407750_278250",407750,278250,14520.34,7205.1,-7315.24,"Decrease > 500 sqm"
"Birmingham","Birmingham_400500_278500",400500,278500,192.8,192.8,0,"No change"
"Birmingham","Birmingham_401500_278500",401500,278500,3951.19,3106.35,-844.84,"Decrease > 500 sqm"
"Birmingham","Birmingham_403750_278500",403750,278500,384.6,399.36,14.76,"Increase 1-500 sqm"
"Birmingham","Birmingham_404750_278500",404750,278500,287.27,94.2,-193.07,"Decrease 1-500 sqm"
"Birmingham","Birmingham_406250_278500",406250,278500,114.1,114.1,0,"No change"
"Birmingham","Birmingham_406750_278500",406750,278500,1140.9,641.5,-499.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_407250_278500",407250,278500,59.5,0,-59.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_407500_278500",407500,278500,0,167.82,167.82,"Increase 1-500 sqm"
"Birmingham","Birmingham_407750_278500",407750,278500,5963.97,5026.06,-937.91,"Decrease > 500 sqm"
"Birmingham","Birmingham_408250_278500",408250,278500,588.2,588.2,0,"No change"
"Birmingham","Birmingham_399250_278750",399250,278750,133.8,133.8,0,"No change"
"Birmingham","Birmingham_399750_278750",399750,278750,232.8,232.8,0,"No change"
"Birmingham","Birmingham_400250_278750",400250,278750,2066.05,1202.25,-863.8,"Decrease > 500 sqm"
"Birmingham","Birmingham_401500_278750",401500,278750,246.9,246.9,0,"No change"
"Birmingham","Birmingham_402250_278750",402250,278750,421.72,418.37,-3.35000000000002,"Decrease 1-500 sqm"
"Birmingham","Birmingham_402500_278750",402500,278750,3444.4,1741.1,-1703.3,"Decrease > 500 sqm"
"Birmingham","Birmingham_402750_278750",402750,278750,217.6,73.2,-144.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404750_278750",404750,278750,3125.41,3207.34,81.9300000000003,"Increase 1-500 sqm"
"Birmingham","Birmingham_405250_278750",405250,278750,198.5,198.5,0,"No change"
"Birmingham","Birmingham_405500_278750",405500,278750,383.56,383.56,0,"No change"
"Birmingham","Birmingham_406250_278750",406250,278750,109.2,109.2,0,"No change"
"Birmingham","Birmingham_407250_278750",407250,278750,126.2,124.2,-2,"Decrease 1-500 sqm"
"Birmingham","Birmingham_407500_278750",407500,278750,1085.7,647.4,-438.3,"Decrease 1-500 sqm"
"Birmingham","Birmingham_407750_278750",407750,278750,155,155,0,"No change"
"Birmingham","Birmingham_408250_278750",408250,278750,659.79,263.46,-396.33,"Decrease 1-500 sqm"
"Birmingham","Birmingham_400500_279000",400500,279000,164,164,0,"No change"
"Birmingham","Birmingham_401750_279000",401750,279000,1147.81,1221.81,74,"Increase 1-500 sqm"
"Birmingham","Birmingham_402500_279000",402500,279000,58.7,58.7,0,"No change"
"Birmingham","Birmingham_403500_279000",403500,279000,1109.95,1109.95,0,"No change"
"Birmingham","Birmingham_404750_279000",404750,279000,127.52,0,-127.52,"Decrease 1-500 sqm"
"Birmingham","Birmingham_406000_279000",406000,279000,179.8,179.8,0,"No change"
"Birmingham","Birmingham_407000_279000",407000,279000,115,154.72,39.72,"Increase 1-500 sqm"
"Birmingham","Birmingham_407750_279000",407750,279000,1172.68,1642.4,469.72,"Increase 1-500 sqm"
"Birmingham","Birmingham_409000_279000",409000,279000,458.2,492.3,34.1,"Increase 1-500 sqm"
"Birmingham","Birmingham_400500_279250",400500,279250,134.7,134.7,0,"No change"
"Birmingham","Birmingham_400750_279250",400750,279250,99.1,99.1,0,"No change"
"Birmingham","Birmingham_401750_279250",401750,279250,17715.77,16983.57,-732.200000000001,"Decrease > 500 sqm"
"Birmingham","Birmingham_402000_279250",402000,279250,306.72,741.22,434.5,"Increase 1-500 sqm"
"Birmingham","Birmingham_403250_279250",403250,279250,157.7,157.7,0,"No change"
"Birmingham","Birmingham_404250_279250",404250,279250,400.47,197.57,-202.9,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404500_279250",404500,279250,45.4,0,-45.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404750_279250",404750,279250,1255.4,1350.14,94.74,"Increase 1-500 sqm"
"Birmingham","Birmingham_405000_279250",405000,279250,0,403.29,403.29,"Increase 1-500 sqm"
"Birmingham","Birmingham_405750_279250",405750,279250,36.3,0,-36.3,"Decrease 1-500 sqm"
"Birmingham","Birmingham_406250_279250",406250,279250,428.19,428.19,0,"No change"
"Birmingham","Birmingham_407750_279250",407750,279250,1254.01,827.27,-426.74,"Decrease 1-500 sqm"
"Birmingham","Birmingham_408250_279250",408250,279250,81.7,0,-81.7,"Decrease 1-500 sqm"
"Birmingham","Birmingham_408750_279250",408750,279250,126.4,92.09,-34.31,"Decrease 1-500 sqm"
"Birmingham","Birmingham_409000_279250",409000,279250,1375.61,1285.11,-90.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_410000_279250",410000,279250,251.7,210.6,-41.1,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401250_279500",401250,279500,71.9,71.9,0,"No change"
"Birmingham","Birmingham_401750_279500",401750,279500,3354.85,2372.17,-982.68,"Decrease > 500 sqm"
"Birmingham","Birmingham_402000_279500",402000,279500,16524.46,15430.38,-1094.08,"Decrease > 500 sqm"
"Birmingham","Birmingham_402250_279500",402250,279500,82.38,82.38,0,"No change"
"Birmingham","Birmingham_404750_279500",404750,279500,4806.07,3767.66,-1038.41,"Decrease > 500 sqm"
"Birmingham","Birmingham_405000_279500",405000,279500,302.46,256.06,-46.4,"Decrease 1-500 sqm"
"Birmingham","Birmingham_406750_279500",406750,279500,602.4,396.8,-205.6,"Decrease 1-500 sqm"
"Birmingham","Birmingham_407500_279500",407500,279500,26.15,26.15,0,"No change"
"Birmingham","Birmingham_408000_279500",408000,279500,0,2114.51,2114.51,"Increase > 500 sqm"
"Birmingham","Birmingham_408250_279500",408250,279500,129.75,368.75,239,"Increase 1-500 sqm"
"Birmingham","Birmingham_408750_279500",408750,279500,4573.3,3612.62,-960.68,"Decrease > 500 sqm"
"Birmingham","Birmingham_409000_279500",409000,279500,141.1,141.1,0,"No change"
"Birmingham","Birmingham_409250_279500",409250,279500,331.89,331.89,0,"No change"
"Birmingham","Birmingham_409500_279500",409500,279500,258.7,144.2,-114.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_409750_279500",409750,279500,461.35,379.15,-82.2,"Decrease 1-500 sqm"
"Birmingham","Birmingham_410250_279500",410250,279500,291.1,293.56,2.45999999999998,"Increase 1-500 sqm"
"Birmingham","Birmingham_410500_279500",410500,279500,3396.3,2249.42,-1146.88,"Decrease > 500 sqm"
"Birmingham","Birmingham_401000_279750",401000,279750,1223.14,897.34,-325.8,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401750_279750",401750,279750,195.48,195.48,0,"No change"
"Birmingham","Birmingham_402000_279750",402000,279750,41270.59,19362.67,-21907.92,"Decrease > 500 sqm"
"Birmingham","Birmingham_404500_279750",404500,279750,169.73,33.2,-136.53,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404750_279750",404750,279750,10365.64,9527.38,-838.26,"Decrease > 500 sqm"
"Birmingham","Birmingham_405000_279750",405000,279750,3267.68,3280.58,12.9000000000001,"Increase 1-500 sqm"
"Birmingham","Birmingham_406250_279750",406250,279750,644.1,644.1,0,"No change"
"Birmingham","Birmingham_408750_279750",408750,279750,301.77,394.67,92.9,"Increase 1-500 sqm"
"Birmingham","Birmingham_409250_279750",409250,279750,217.3,150.1,-67.2,"Decrease 1-500 sqm"
"Birmingham","Birmingham_410250_279750",410250,279750,92.4,92.4,0,"No change"
"Birmingham","Birmingham_401500_280000",401500,280000,55.05,103.95,48.9,"Increase 1-500 sqm"
"Birmingham","Birmingham_402250_280000",402250,280000,427.02,492.28,65.26,"Increase 1-500 sqm"
"Birmingham","Birmingham_402500_280000",402500,280000,130.78,288.47,157.69,"Increase 1-500 sqm"
"Birmingham","Birmingham_403250_280000",403250,280000,196.9,122.3,-74.6,"Decrease 1-500 sqm"
"Birmingham","Birmingham_403500_280000",403500,280000,187.9,187.9,0,"No change"
"Birmingham","Birmingham_404500_280000",404500,280000,201.96,569.06,367.1,"Increase 1-500 sqm"
"Birmingham","Birmingham_404750_280000",404750,280000,120.5,120.5,0,"No change"
"Birmingham","Birmingham_405000_280000",405000,280000,346.6,311.1,-35.5,"Decrease 1-500 sqm"
"Birmingham","Birmingham_405250_280000",405250,280000,1287.02,1144.44,-142.58,"Decrease 1-500 sqm"
"Birmingham","Birmingham_405750_280000",405750,280000,113.8,113.8,0,"No change"
"Birmingham","Birmingham_406750_280000",406750,280000,481.05,481.05,0,"No change"
"Birmingham","Birmingham_408500_280000",408500,280000,43.3,43.3,0,"No change"
"Birmingham","Birmingham_404500_280250",404500,280250,0,86.6,86.6,"Increase 1-500 sqm"
"Birmingham","Birmingham_405250_280250",405250,280250,364.08,74.1,-289.98,"Decrease 1-500 sqm"
"Birmingham","Birmingham_405500_280250",405500,280250,68.9,99.8,30.9,"Increase 1-500 sqm"
"Birmingham","Birmingham_407250_280250",407250,280250,4483.57,2773.7,-1709.87,"Decrease > 500 sqm"
"Birmingham","Birmingham_407500_280250",407500,280250,103.3,103.3,0,"No change"
"Birmingham","Birmingham_407750_280250",407750,280250,0,14.43,14.43,"Increase 1-500 sqm"
"Birmingham","Birmingham_408250_280250",408250,280250,1617.05,1390.9,-226.15,"Decrease 1-500 sqm"
"Birmingham","Birmingham_408500_280250",408500,280250,303.99,303.99,0,"No change"
"Birmingham","Birmingham_408750_280250",408750,280250,132,132,0,"No change"
"Birmingham","Birmingham_409250_280250",409250,280250,148,148,0,"No change"
"Birmingham","Birmingham_409750_280250",409750,280250,1067.5,946.79,-120.71,"Decrease 1-500 sqm"
"Birmingham","Birmingham_411000_280250",411000,280250,177.6,177.6,0,"No change"
"Birmingham","Birmingham_411250_280250",411250,280250,4778.17,4525.36,-252.81,"Decrease 1-500 sqm"
"Birmingham","Birmingham_401000_280500",401000,280500,419,247,-172,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404250_280500",404250,280500,427.07,375.13,-51.94,"Decrease 1-500 sqm"
"Birmingham","Birmingham_404500_280500",404500,280500,566.49,467.27,-99.22,"Decrease 1-500 sqm"
"Birmingham","Birmingham_405000_280500",405000,280500,88.53,88.53,0,"No change"
"Birmingham","Birmingham_405250_280500",405250,280500,7795.61,7295.75,-499.86,"Decrease 1-500 sqm"
"Birmingham","Birmingham_405750_280500",405750,280500,569.58,569.58,0,"No change"
