city,year,grid_x,grid_y,grid_id,business_count,occupied_count,vacant_count,known_occupation_count,unknown_occupation_count,vacancy_rate,business_diversity,rateable_value_total,rateable_value_median,floor_area_total
Birmingham,2016,398250,278250,Birmingham_398250_278250,3,3,0,3,0,0.0,0.6365141682948128,25200.0,9500.0,309.5
Birmingham,2016,398750,277500,Birmingham_398750_277500,1,1,0,1,0,0.0,-0.0,7600.0,7600.0,203.9
Birmingham,2016,398750,278000,Birmingham_398750_278000,1,0,1,1,0,1.0,-0.0,38000.0,38000.0,
Birmingham,2016,398750,278250,Birmingham_398750_278250,11,7,0,7,4,0.0,0.30463609734923813,83000.0,5300.0,2544.12
Birmingham,2016,399000,277250,Birmingham_399000_277250,2,1,0,1,1,0.0,-0.0,116000.0,116000.0,3441.52
Birmingham,2016,399000,282500,Birmingham_399000_282500,1,1,0,1,0,0.0,-0.0,8000.0,8000.0,122.3
Birmingham,2016,399000,282750,Birmingham_399000_282750,1,1,0,1,0,0.0,-0.0,2650.0,2650.0,47.4
Birmingham,2016,399000,283000,Birmingham_399000_283000,1,1,0,1,0,0.0,-0.0,44500.0,44500.0,
Birmingham,2016,399000,284750,Birmingham_399000_284750,2,2,0,2,0,0.0,0.6931471805599453,12150.0,6075.0,164.0
Birmingham,2016,399250,276750,Birmingham_399250_276750,1,1,0,1,0,0.0,-0.0,11250.0,11250.0,
Birmingham,2016,399250,277250,Birmingham_399250_277250,4,4,0,4,0,0.0,-0.0,21000.0,5250.0,283.40000000000003
Birmingham,2016,399250,277500,Birmingham_399250_277500,2,1,0,1,1,0.0,-0.0,156500.0,78250.0,713.5899999999999
Birmingham,2016,399250,278000,Birmingham_399250_278000,1,0,0,0,1,,-0.0,,,4085.6
Birmingham,2016,399250,278750,Birmingham_399250_278750,1,1,0,1,0,0.0,-0.0,8500.0,8500.0,133.8
Birmingham,2016,399250,281000,Birmingham_399250_281000,1,1,0,1,0,0.0,-0.0,5400.0,5400.0,65.1
Birmingham,2016,399250,282000,Birmingham_399250_282000,6,4,0,4,2,0.0,-0.0,30200.0,3775.0,704.2
Birmingham,2016,399250,282500,Birmingham_399250_282500,1,1,0,1,0,0.0,-0.0,4600.0,4600.0,78.6
Birmingham,2016,399250,282750,Birmingham_399250_282750,16,6,0,6,10,0.0,0.2337916587064593,47050.0,5400.0,1683.6
Birmingham,2016,399250,283750,Birmingham_399250_283750,1,1,0,1,0,0.0,-0.0,130000.0,130000.0,887.53
Birmingham,2016,399250,284750,Birmingham_399250_284750,11,7,0,7,4,0.0,-0.0,63855.0,2550.0,1294.83
Birmingham,2016,399500,277500,Birmingham_399500_277500,3,1,0,1,2,0.0,-0.0,1450000.0,1450000.0,17500.800000000003
Birmingham,2016,399500,277750,Birmingham_399500_277750,1,0,0,0,1,,-0.0,185000.0,185000.0,
Birmingham,2016,399500,281500,Birmingham_399500_281500,23,14,1,15,8,0.06666666666666667,-0.0,82825.0,2625.0,2299.6
Birmingham,2016,399500,281750,Birmingham_399500_281750,2,0,0,0,2,,0.6931471805599453,2800.0,2800.0,63.7
Birmingham,2016,399500,284750,Birmingham_399500_284750,4,1,0,1,3,0.0,-0.0,13000.0,3600.0,350.7
Birmingham,2016,399750,276750,Birmingham_399750_276750,14,6,0,6,8,0.0,0.25731864054383163,83225.0,2900.0,920.2500000000001
Birmingham,2016,399750,278250,Birmingham_399750_278250,1,1,0,1,0,0.0,-0.0,5500.0,5500.0,88.2
Birmingham,2016,399750,278750,Birmingham_399750_278750,4,3,0,3,1,0.0,0.5623351446188083,25850.0,5500.0,232.79999999999998
Birmingham,2016,399750,281250,Birmingham_399750_281250,1,1,0,1,0,0.0,-0.0,6200.0,6200.0,
Birmingham,2016,399750,281750,Birmingham_399750_281750,1,1,0,1,0,0.0,-0.0,3050.0,3050.0,57.2
Birmingham,2016,399750,282000,Birmingham_399750_282000,2,0,1,1,1,1.0,-0.0,4300.0,2150.0,91.4
Birmingham,2016,399750,284000,Birmingham_399750_284000,2,2,0,2,0,0.0,-0.0,14000.0,7000.0,217.64
Birmingham,2016,399750,284250,Birmingham_399750_284250,3,2,0,2,1,0.0,-0.0,14550.0,4850.0,190.61
Birmingham,2016,399750,284500,Birmingham_399750_284500,2,1,0,1,1,0.0,-0.0,497500.0,497500.0,5448.6
Birmingham,2016,400000,276250,Birmingham_400000_276250,1,1,0,1,0,0.0,-0.0,13250.0,13250.0,129.94
Birmingham,2016,400000,276750,Birmingham_400000_276750,8,5,0,5,3,0.0,-0.0,27675.0,2925.0,620.23
Birmingham,2016,400000,277250,Birmingham_400000_277250,1,1,0,1,0,0.0,-0.0,4100.0,4100.0,91.0
Birmingham,2016,400000,277500,Birmingham_400000_277500,9,5,0,5,4,0.0,0.5297061990576545,78950.0,12750.0,1494.6200000000001
Birmingham,2016,400000,278250,Birmingham_400000_278250,2,1,0,1,1,0.0,-0.0,11000.0,11000.0,195.8
Birmingham,2016,400000,283000,Birmingham_400000_283000,1,0,1,1,0,1.0,-0.0,8200.0,8200.0,
Birmingham,2016,400000,284500,Birmingham_400000_284500,2,1,0,1,1,0.0,-0.0,1525.0,1525.0,114.80000000000001
Birmingham,2016,400250,277500,Birmingham_400250_277500,22,12,1,13,9,0.07692307692307693,1.0335620542068176,231350.0,5300.0,2663.9100000000003
Birmingham,2016,400250,278750,Birmingham_400250_278750,13,6,1,7,6,0.14285714285714285,0.2711893730418441,60975.0,3775.0,2066.0499999999997
Birmingham,2016,400250,281750,Birmingham_400250_281750,6,2,0,2,4,0.0,-0.0,26900.0,4200.0,771.9
Birmingham,2016,400250,282000,Birmingham_400250_282000,1,1,0,1,0,0.0,-0.0,25000.0,25000.0,
Birmingham,2016,400250,282750,Birmingham_400250_282750,1,1,0,1,0,0.0,-0.0,5000.0,5000.0,106.29
Birmingham,2016,400250,283750,Birmingham_400250_283750,3,1,0,1,2,0.0,0.6365141682948128,11650.0,5825.0,199.7
Birmingham,2016,400250,284500,Birmingham_400250_284500,6,4,0,4,2,0.0,-0.0,22175.0,3200.0,340.61
Birmingham,2016,400250,284750,Birmingham_400250_284750,2,1,0,1,1,0.0,-0.0,68500.0,34250.0,717.9000000000001
Birmingham,2016,400250,285000,Birmingham_400250_285000,1,1,0,1,0,0.0,-0.0,210000.0,210000.0,
Birmingham,2016,400500,276250,Birmingham_400500_276250,1,1,0,1,0,0.0,-0.0,14500.0,14500.0,1692.0
Birmingham,2016,400500,277000,Birmingham_400500_277000,1,0,0,0,1,,-0.0,4700.0,4700.0,58.0
Birmingham,2016,400500,277250,Birmingham_400500_277250,9,6,1,7,2,0.14285714285714285,-0.0,33850.0,5100.0,986.7
Birmingham,2016,400500,278500,Birmingham_400500_278500,3,2,0,2,1,0.0,0.6365141682948128,8675.0,3100.0,192.8
Birmingham,2016,400500,279000,Birmingham_400500_279000,1,1,0,1,0,0.0,-0.0,7200.0,7200.0,164.0
Birmingham,2016,400500,279250,Birmingham_400500_279250,2,1,0,1,1,0.0,-0.0,6300.0,3150.0,134.7
Birmingham,2016,400500,282000,Birmingham_400500_282000,1,1,0,1,0,0.0,-0.0,1500.0,1500.0,43.9
Birmingham,2016,400500,282250,Birmingham_400500_282250,6,1,0,1,5,0.0,-0.0,10175.0,5087.5,519.94
Birmingham,2016,400500,282500,Birmingham_400500_282500,9,3,1,4,5,0.25,0.8486855577264172,61100.0,3100.0,1048.27
Birmingham,2016,400500,283750,Birmingham_400500_283750,3,1,0,1,2,0.0,-0.0,12900.0,4500.0,198.5
Birmingham,2016,400500,284250,Birmingham_400500_284250,14,9,0,9,5,0.0,-0.0,32695.0,2062.5,944.9
Birmingham,2016,400500,285000,Birmingham_400500_285000,1,0,0,0,1,,-0.0,,,12.4
Birmingham,2016,400750,277750,Birmingham_400750_277750,1,1,0,1,0,0.0,-0.0,3250.0,3250.0,69.0
Birmingham,2016,400750,279250,Birmingham_400750_279250,1,0,0,0,1,,-0.0,3350.0,3350.0,99.1
Birmingham,2016,400750,282750,Birmingham_400750_282750,1,1,0,1,0,0.0,-0.0,6200.0,6200.0,131.2
Birmingham,2016,400750,283750,Birmingham_400750_283750,10,9,0,9,1,0.0,-0.0,57000.0,5100.0,1219.2900000000002
Birmingham,2016,400750,284250,Birmingham_400750_284250,3,1,0,1,2,0.0,-0.0,4850.0,4850.0,281.5
Birmingham,2016,400750,285000,Birmingham_400750_285000,31,19,0,19,12,0.0,0.23921709381651282,514000.0,7300.0,4869.780000000001
Birmingham,2016,401000,277250,Birmingham_401000_277250,24,9,3,12,12,0.25,0.6519508373776711,5347000.0,39000.0,29793.6
Birmingham,2016,401000,277750,Birmingham_401000_277750,4,4,0,4,0,0.0,0.5623351446188083,21800.0,4325.0,314.48
Birmingham,2016,401000,279750,Birmingham_401000_279750,11,6,1,7,4,0.14285714285714285,-0.0,32725.0,2700.0,1223.14
Birmingham,2016,401000,280500,Birmingham_401000_280500,4,2,0,2,2,0.0,0.5623351446188083,10675.0,5337.5,419.0
Birmingham,2016,401000,281250,Birmingham_401000_281250,9,5,0,5,4,0.0,0.34883209584303193,29700.0,2850.0,601.85
Birmingham,2016,401000,284750,Birmingham_401000_284750,2,0,0,0,2,,0.6931471805599453,,,32.5
Birmingham,2016,401000,285250,Birmingham_401000_285250,1,0,1,1,0,1.0,-0.0,38000.0,38000.0,191.9
Birmingham,2016,401250,277250,Birmingham_401250_277250,11,6,0,6,5,0.0,0.30463609734923813,63750.0,5100.0,1120.42
Birmingham,2016,401250,277500,Birmingham_401250_277500,8,1,0,1,7,0.0,0.5623351446188083,54000.0,9300.0,19134.82
Birmingham,2016,401250,277750,Birmingham_401250_277750,1,1,0,1,0,0.0,-0.0,7300.0,7300.0,101.37
Birmingham,2016,401250,278250,Birmingham_401250_278250,18,10,0,10,8,0.0,0.5908422462755826,156000.0,8000.0,3212.0199999999995
Birmingham,2016,401250,279500,Birmingham_401250_279500,1,0,0,0,1,,-0.0,2550.0,2550.0,71.9
Birmingham,2016,401250,280750,Birmingham_401250_280750,1,0,0,0,1,,-0.0,32000.0,32000.0,
Birmingham,2016,401250,282500,Birmingham_401250_282500,10,9,0,9,1,0.0,0.5004024235381879,35900.0,3850.0,1042.88
Birmingham,2016,401250,283750,Birmingham_401250_283750,7,4,1,5,2,0.2,0.410116318288409,30800.0,3900.0,464.3
Birmingham,2016,401250,284500,Birmingham_401250_284500,7,6,0,6,1,0.0,0.410116318288409,61700.0,4700.0,656.08
Birmingham,2016,401250,284750,Birmingham_401250_284750,4,3,0,3,1,0.0,-0.0,36800.0,5500.0,663.5
Birmingham,2016,401500,276750,Birmingham_401500_276750,5,3,0,3,2,0.0,-0.0,8375.0,2600.0,326.4
Birmingham,2016,401500,277000,Birmingham_401500_277000,3,1,0,1,2,0.0,0.6365141682948128,24775.0,4650.0,165.3
Birmingham,2016,401500,277250,Birmingham_401500_277250,4,2,0,2,2,0.0,-0.0,14250.0,5400.0,342.9
Birmingham,2016,401500,277750,Birmingham_401500_277750,1,0,0,0,1,,-0.0,,,417.5
Birmingham,2016,401500,278500,Birmingham_401500_278500,35,23,2,25,10,0.08,0.3470668257548097,168125.0,5000.0,3951.19
Birmingham,2016,401500,278750,Birmingham_401500_278750,3,1,0,1,2,0.0,-0.0,15600.0,4450.0,246.9
Birmingham,2016,401500,280000,Birmingham_401500_280000,1,1,0,1,0,0.0,-0.0,2750.0,2750.0,55.05
Birmingham,2016,401500,282250,Birmingham_401500_282250,1,0,0,0,1,,-0.0,,,1105.6
Birmingham,2016,401500,282500,Birmingham_401500_282500,4,3,0,3,1,0.0,0.5623351446188083,75620.0,2175.0,346.39000000000004
Birmingham,2016,401500,282750,Birmingham_401500_282750,2,0,0,0,2,,0.6931471805599453,1650000.0,1650000.0,7642.6900000000005
Birmingham,2016,401500,284000,Birmingham_401500_284000,1,1,0,1,0,0.0,-0.0,7700.0,7700.0,22.1
Birmingham,2016,401500,284750,Birmingham_401500_284750,1,1,0,1,0,0.0,-0.0,83500.0,83500.0,
Birmingham,2016,401750,277250,Birmingham_401750_277250,1,0,0,0,1,,-0.0,4400.0,4400.0,70.3
Birmingham,2016,401750,278250,Birmingham_401750_278250,1,0,0,0,1,,-0.0,11500.0,11500.0,128.03
Birmingham,2016,401750,279000,Birmingham_401750_279000,12,8,0,8,4,0.0,0.45056120886630463,163700.0,6950.0,1147.81
Birmingham,2016,401750,279250,Birmingham_401750_279250,50,37,0,37,13,0.0,0.4882935030375918,1628510.0,3500.0,17715.77
Birmingham,2016,401750,279500,Birmingham_401750_279500,16,6,0,6,10,0.0,0.6885673693022827,240750.0,11875.0,3354.85
Birmingham,2016,401750,279750,Birmingham_401750_279750,1,0,0,0,1,,-0.0,50500.0,50500.0,195.48
Birmingham,2016,401750,280750,Birmingham_401750_280750,8,7,1,8,0,0.125,-0.0,44400.0,4525.0,724.44
Birmingham,2016,401750,281000,Birmingham_401750_281000,1,1,0,1,0,0.0,-0.0,1025.0,1025.0,23.4
Birmingham,2016,401750,281500,Birmingham_401750_281500,1,1,0,1,0,0.0,-0.0,36250.0,36250.0,
Birmingham,2016,401750,283750,Birmingham_401750_283750,5,1,0,1,4,0.0,-0.0,19150.0,5000.0,723.2
Birmingham,2016,401750,284000,Birmingham_401750_284000,1,0,0,0,1,,-0.0,4050.0,4050.0,62.6
Birmingham,2016,401750,284500,Birmingham_401750_284500,11,6,0,6,5,0.0,-0.0,69150.0,5400.0,1047.74
Birmingham,2016,401750,284750,Birmingham_401750_284750,1,1,0,1,0,0.0,-0.0,3150.0,3150.0,34.3
Birmingham,2016,402000,276750,Birmingham_402000_276750,1,1,0,1,0,0.0,-0.0,455.0,455.0,9.16
