"city","year","grid_id","grid_x","grid_y","retail_records","records_with_rateable_value","rateable_value_total","rateable_value_median"
"Birmingham",2016,"Birmingham_398250_278250",398250,278250,3,3,25200,9500
"Birmingham",2016,"Birmingham_398750_277500",398750,277500,1,1,7600,7600
"Birmingham",2016,"Birmingham_398750_278000",398750,278000,1,1,38000,38000
"Birmingham",2016,"Birmingham_398750_278250",398750,278250,11,10,83000,5300
"Birmingham",2016,"Birmingham_399000_277250",399000,277250,2,1,116000,116000
"Birmingham",2016,"Birmingham_399000_282500",399000,282500,1,1,8000,8000
"Birmingham",2016,"Birmingham_399000_282750",399000,282750,1,1,2650,2650
"Birmingham",2016,"Birmingham_399000_283000",399000,283000,1,1,44500,44500
"Birmingham",2016,"Birmingham_399000_284750",399000,284750,2,2,12150,6075
"Birmingham",2016,"Birmingham_399250_276750",399250,276750,1,1,11250,11250
"Birmingham",2016,"Birmingham_399250_277250",399250,277250,4,4,21000,5250
"Birmingham",2016,"Birmingham_399250_277500",399250,277500,2,2,156500,78250
"Birmingham",2016,"Birmingham_399250_278000",399250,278000,1,0,NA,NA
"Birmingham",2016,"Birmingham_399250_278750",399250,278750,1,1,8500,8500
"Birmingham",2016,"Birmingham_399250_281000",399250,281000,1,1,5400,5400
"Birmingham",2016,"Birmingham_399250_282000",399250,282000,6,6,30200,3775
"Birmingham",2016,"Birmingham_399250_282500",399250,282500,1,1,4600,4600
"Birmingham",2016,"Birmingham_399250_282750",399250,282750,16,9,47050,5400
"Birmingham",2016,"Birmingham_399250_283750",399250,283750,1,1,130000,130000
"Birmingham",2016,"Birmingham_399250_284750",399250,284750,11,10,63855,2550
"Birmingham",2016,"Birmingham_399500_277500",399500,277500,3,1,1450000,1450000
"Birmingham",2016,"Birmingham_399500_277750",399500,277750,1,1,185000,185000
"Birmingham",2016,"Birmingham_399500_281500",399500,281500,23,22,82825,2625
"Birmingham",2016,"Birmingham_399500_281750",399500,281750,2,1,2800,2800
"Birmingham",2016,"Birmingham_399500_284750",399500,284750,4,3,13000,3600
"Birmingham",2016,"Birmingham_399750_276750",399750,276750,14,12,83225,2900
"Birmingham",2016,"Birmingham_399750_278250",399750,278250,1,1,5500,5500
"Birmingham",2016,"Birmingham_399750_278750",399750,278750,4,4,25850,5500
"Birmingham",2016,"Birmingham_399750_281250",399750,281250,1,1,6200,6200
"Birmingham",2016,"Birmingham_399750_281750",399750,281750,1,1,3050,3050
"Birmingham",2016,"Birmingham_399750_282000",399750,282000,2,2,4300,2150
"Birmingham",2016,"Birmingham_399750_284000",399750,284000,2,2,14000,7000
"Birmingham",2016,"Birmingham_399750_284250",399750,284250,3,3,14550,4850
"Birmingham",2016,"Birmingham_399750_284500",399750,284500,2,1,497500,497500
"Birmingham",2016,"Birmingham_400250_277500",400250,277500,22,19,231350,5300
"Birmingham",2016,"Birmingham_400250_278750",400250,278750,13,8,60975,3775
"Birmingham",2016,"Birmingham_400250_281750",400250,281750,6,5,26900,4200
"Birmingham",2016,"Birmingham_400250_282000",400250,282000,1,1,25000,25000
"Birmingham",2016,"Birmingham_400250_282750",400250,282750,1,1,5000,5000
"Birmingham",2016,"Birmingham_400250_283750",400250,283750,3,2,11650,5825
"Birmingham",2016,"Birmingham_400250_284500",400250,284500,6,6,22175,3200
"Birmingham",2016,"Birmingham_400250_284750",400250,284750,2,2,68500,34250
"Birmingham",2016,"Birmingham_400250_285000",400250,285000,1,1,210000,210000
"Birmingham",2016,"Birmingham_400500_276250",400500,276250,1,1,14500,14500
"Birmingham",2016,"Birmingham_400500_277000",400500,277000,1,1,4700,4700
"Birmingham",2016,"Birmingham_400500_277250",400500,277250,9,7,33850,5100
"Birmingham",2016,"Birmingham_400500_278500",400500,278500,3,3,8675,3100
"Birmingham",2016,"Birmingham_400500_279000",400500,279000,1,1,7200,7200
"Birmingham",2016,"Birmingham_400500_279250",400500,279250,2,2,6300,3150
"Birmingham",2016,"Birmingham_400500_282000",400500,282000,1,1,1500,1500
"Birmingham",2016,"Birmingham_400500_282250",400500,282250,6,2,10175,5087.5
"Birmingham",2016,"Birmingham_400500_282500",400500,282500,9,8,61100,3100
"Birmingham",2016,"Birmingham_400500_283750",400500,283750,3,3,12900,4500
"Birmingham",2016,"Birmingham_400500_284250",400500,284250,14,14,32695,2062.5
"Birmingham",2016,"Birmingham_400500_285000",400500,285000,1,0,NA,NA
"Birmingham",2016,"Birmingham_400750_277750",400750,277750,1,1,3250,3250
"Birmingham",2016,"Birmingham_400750_279250",400750,279250,1,1,3350,3350
"Birmingham",2016,"Birmingham_400750_282750",400750,282750,1,1,6200,6200
"Birmingham",2016,"Birmingham_400750_283750",400750,283750,10,9,57000,5100
"Birmingham",2016,"Birmingham_400750_284250",400750,284250,3,1,4850,4850
"Birmingham",2016,"Birmingham_400750_285000",400750,285000,31,26,514000,7300
"Birmingham",2016,"Birmingham_401000_277250",401000,277250,24,21,5347000,39000
"Birmingham",2016,"Birmingham_401000_277750",401000,277750,4,4,21800,4325
"Birmingham",2016,"Birmingham_401000_279750",401000,279750,11,9,32725,2700
"Birmingham",2016,"Birmingham_401000_280500",401000,280500,4,2,10675,5337.5
"Birmingham",2016,"Birmingham_401000_281250",401000,281250,9,8,29700,2850
"Birmingham",2016,"Birmingham_401000_284750",401000,284750,2,0,NA,NA
"Birmingham",2016,"Birmingham_401000_285250",401000,285250,1,1,38000,38000
"Birmingham",2016,"Birmingham_401250_277250",401250,277250,11,9,63750,5100
"Birmingham",2016,"Birmingham_401250_277500",401250,277500,8,5,54000,9300
"Birmingham",2016,"Birmingham_401250_277750",401250,277750,1,1,7300,7300
"Birmingham",2016,"Birmingham_401250_278250",401250,278250,18,16,156000,8000
"Birmingham",2016,"Birmingham_401250_279500",401250,279500,1,1,2550,2550
"Birmingham",2016,"Birmingham_401250_280750",401250,280750,1,1,32000,32000
"Birmingham",2016,"Birmingham_401250_282500",401250,282500,10,9,35900,3850
"Birmingham",2016,"Birmingham_401250_283750",401250,283750,7,7,30800,3900
"Birmingham",2016,"Birmingham_401250_284500",401250,284500,7,7,61700,4700
"Birmingham",2016,"Birmingham_401250_284750",401250,284750,4,3,36800,5500
"Birmingham",2016,"Birmingham_401500_276750",401500,276750,5,3,8375,2600
"Birmingham",2016,"Birmingham_401500_277000",401500,277000,3,3,24775,4650
"Birmingham",2016,"Birmingham_401500_277250",401500,277250,4,3,14250,5400
"Birmingham",2016,"Birmingham_401500_277750",401500,277750,1,0,NA,NA
"Birmingham",2016,"Birmingham_401500_278500",401500,278500,35,31,168125,5000
"Birmingham",2016,"Birmingham_401500_278750",401500,278750,3,3,15600,4450
"Birmingham",2016,"Birmingham_401500_280000",401500,280000,1,1,2750,2750
"Birmingham",2016,"Birmingham_401500_282250",401500,282250,1,0,NA,NA
"Birmingham",2016,"Birmingham_401500_282500",401500,282500,4,4,75620,2175
"Birmingham",2016,"Birmingham_401500_282750",401500,282750,2,1,1650000,1650000
"Birmingham",2016,"Birmingham_401500_284000",401500,284000,1,1,7700,7700
"Birmingham",2016,"Birmingham_401500_284750",401500,284750,1,1,83500,83500
"Birmingham",2016,"Birmingham_401750_277250",401750,277250,1,1,4400,4400
"Birmingham",2016,"Birmingham_401750_278250",401750,278250,1,1,11500,11500
"Birmingham",2016,"Birmingham_401750_279000",401750,279000,12,12,163700,6950
"Birmingham",2016,"Birmingham_401750_279250",401750,279250,50,47,1628510,3500
"Birmingham",2016,"Birmingham_401750_279500",401750,279500,16,14,240750,11875
"Birmingham",2016,"Birmingham_401750_279750",401750,279750,1,1,50500,50500
"Birmingham",2016,"Birmingham_401750_280750",401750,280750,8,8,44400,4525
