year,grid_x,grid_y,retail_count
2016.0,-3500,500,1
2016.0,-3500,1000,4
2016.0,-3500,1250,3
2016.0,-3500,2000,1
2016.0,-3500,2500,1
2016.0,-3500,3750,3
2016.0,-3250,-250,4
2016.0,-3250,0,5
2016.0,-3250,250,9
2016.0,-3250,500,4
2016.0,-3250,750,3
2016.0,-3250,1250,9
2016.0,-3250,1500,7
2016.0,-3250,1750,5
2016.0,-3250,2000,12
2016.0,-3250,2250,3
2016.0,-3250,2750,4
2016.0,-3250,3250,1
2016.0,-3250,3500,6
2016.0,-3250,3750,8
2016.0,-3000,-750,24
2016.0,-3000,-500,5
2016.0,-3000,-250,122
2016.0,-3000,0,103
2016.0,-3000,250,84
2016.0,-3000,500,6
2016.0,-3000,750,1
2016.0,-3000,1000,8
2016.0,-3000,1250,3
2016.0,-3000,1750,3
2016.0,-3000,2000,1
2016.0,-3000,2250,2
2016.0,-3000,2750,2
2016.0,-3000,3250,4
2016.0,-3000,3500,3
2016.0,-3000,3750,5
2016.0,-2750,-1250,1
2016.0,-2750,-750,21
2016.0,-2750,-500,10
2016.0,-2750,-250,82
2016.0,-2750,0,174
2016.0,-2750,250,38
2016.0,-2750,500,5
2016.0,-2750,750,10
2016.0,-2750,1250,8
2016.0,-2750,1750,2
2016.0,-2750,2000,3
2016.0,-2750,2500,1
2016.0,-2750,3250,9
2016.0,-2750,3500,1
2016.0,-2500,-1500,55
2016.0,-2500,-1250,1
2016.0,-2500,-1000,4
2016.0,-2500,-750,13
2016.0,-2500,-500,69
2016.0,-2500,-250,217
2016.0,-2500,0,216
2016.0,-2500,250,50
2016.0,-2500,500,7
2016.0,-2500,750,1
2016.0,-2500,1000,3
2016.0,-2500,1250,1
2016.0,-2500,1750,1
2016.0,-2500,2000,5
2016.0,-2500,2750,5
2016.0,-2500,3000,28
2016.0,-2500,3500,5
2016.0,-2500,3750,1
2016.0,-2250,-1750,1
2016.0,-2250,-1500,3
2016.0,-2250,-1250,18
2016.0,-2250,-1000,15
2016.0,-2250,-750,4
2016.0,-2250,-500,67
2016.0,-2250,-250,205
2016.0,-2250,0,531
2016.0,-2250,250,11
2016.0,-2250,500,2
2016.0,-2250,1250,1
2016.0,-2250,1500,4
2016.0,-2250,1750,12
2016.0,-2250,2000,6
2016.0,-2250,2250,6
2016.0,-2250,2500,5
2016.0,-2250,3000,7
2016.0,-2250,3250,4
2016.0,-2250,3750,1
2016.0,-2250,4000,5
2016.0,-2000,-2500,6
2016.0,-2000,-2250,2
2016.0,-2000,-2000,4
2016.0,-2000,-1750,3
2016.0,-2000,-1500,12
2016.0,-2000,-1250,22
2016.0,-2000,-1000,16
2016.0,-2000,-750,14
2016.0,-2000,-500,144
2016.0,-2000,-250,127
2016.0,-2000,0,60
2016.0,-2000,250,33
2016.0,-2000,1000,6
2016.0,-2000,1250,1
2016.0,-2000,1500,7
2016.0,-2000,1750,29
2016.0,-2000,2000,1
2016.0,-2000,2750,4
2016.0,-2000,3000,1
2016.0,-2000,3250,1
2016.0,-2000,3750,9
2016.0,-2000,4000,2
2016.0,-1750,-3000,2
2016.0,-1750,-2750,12
2016.0,-1750,-2000,7
2016.0,-1750,-1750,8
2016.0,-1750,-1000,2
2016.0,-1750,-750,33
2016.0,-1750,-500,83
2016.0,-1750,-250,19
2016.0,-1750,250,52
2016.0,-1750,500,5
2016.0,-1750,750,6
2016.0,-1750,1000,3
2016.0,-1750,1500,1
2016.0,-1750,2250,1
2016.0,-1750,2500,2
2016.0,-1750,2750,21
2016.0,-1750,3000,3
2016.0,-1750,3250,13
2016.0,-1750,3500,5
2016.0,-1750,3750,8
2016.0,-1750,4000,6
2016.0,-1750,6250,1
2016.0,-1500,-3000,2
2016.0,-1500,-2750,2
2016.0,-1500,-2500,7
2016.0,-1500,-2000,4
2016.0,-1500,-1750,3
2016.0,-1500,-1500,5
2016.0,-1500,-1250,2
2016.0,-1500,-1000,1
2016.0,-1500,-750,17
2016.0,-1500,-500,63
2016.0,-1500,-250,13
2016.0,-1500,0,1
2016.0,-1500,250,60
2016.0,-1500,500,27
2016.0,-1500,750,1
2016.0,-1500,1000,2
2016.0,-1500,2000,1
2016.0,-1500,2500,2
2016.0,-1500,2750,2
2016.0,-1500,3000,1
2016.0,-1500,3250,50
2016.0,-1500,3500,68
2016.0,-1500,3750,51
2016.0,-1500,4000,61
2016.0,-1500,4250,5
2016.0,-1500,4500,4
2016.0,-1500,6250,27
2016.0,-1250,-3000,6
2016.0,-1250,-2750,19
2016.0,-1250,-2500,4
2016.0,-1250,-2250,25
2016.0,-1250,-1750,16
2016.0,-1250,-1250,10
2016.0,-1250,-1000,1
2016.0,-1250,-750,15
2016.0,-1250,-500,6
2016.0,-1250,-250,1
2016.0,-1250,500,22
2016.0,-1250,1500,4
2016.0,-1250,1750,1
2016.0,-1250,2000,2
2016.0,-1250,2250,10
2016.0,-1250,2500,2
2016.0,-1250,2750,16
2016.0,-1250,3250,2
2016.0,-1250,3500,12
2016.0,-1250,3750,21
2016.0,-1250,4000,6
2016.0,-1250,4250,62
2016.0,-1250,4750,21
2016.0,-1250,5000,1
2016.0,-1250,6000,1
2016.0,-1250,6250,36
2016.0,-1250,6500,3
2016.0,-1000,-3750,2
2016.0,-1000,-2500,48
2016.0,-1000,-2250,1
2016.0,-1000,-2000,19
2016.0,-1000,-1750,2
2016.0,-1000,-1500,2
2016.0,-1000,-1000,1
2016.0,-1000,-750,14
2016.0,-1000,-250,4
2016.0,-1000,0,10
2016.0,-1000,500,13
2016.0,-1000,750,1
2016.0,-1000,1000,2
2016.0,-1000,1500,1
2016.0,-1000,1750,4
2016.0,-1000,2000,16
2016.0,-1000,2250,2
2016.0,-1000,2500,22
2016.0,-1000,3500,2
2016.0,-1000,3750,1
2016.0,-1000,4000,4
2016.0,-1000,4250,2
2016.0,-1000,4500,1
2016.0,-1000,5000,7
2016.0,-1000,5250,54
2016.0,-1000,5500,10
2016.0,-1000,5750,8
2016.0,-1000,6000,32
2016.0,-1000,6250,9
2016.0,-1000,6500,5
2016.0,-750,-3000,5
2016.0,-750,-2750,1
2016.0,-750,-2250,7
2016.0,-750,-2000,9
2016.0,-750,-1500,7
2016.0,-750,-1000,1
2016.0,-750,-500,1
2016.0,-750,250,2
2016.0,-750,500,18
2016.0,-750,750,1
2016.0,-750,1250,1
2016.0,-750,1500,4
2016.0,-750,1750,65
2016.0,-750,2000,6
2016.0,-750,2250,10
2016.0,-750,2500,22
2016.0,-750,4000,17
2016.0,-750,4250,12
2016.0,-750,5250,5
2016.0,-750,6000,19
2016.0,-750,6250,82
2016.0,-750,6500,12
2016.0,-500,-2750,1
2016.0,-500,-1750,6
2016.0,-500,-1500,5
2016.0,-500,-1250,18
2016.0,-500,-1000,5
2016.0,-500,-250,23
2016.0,-500,0,15
2016.0,-500,500,20
2016.0,-500,750,3
2016.0,-500,1000,5
2016.0,-500,1250,3
2016.0,-500,1750,10
2016.0,-500,2000,38
2016.0,-500,2250,28
2016.0,-500,2500,11
2016.0,-500,4000,10
2016.0,-500,4250,2
2016.0,-500,5250,2
2016.0,-500,6250,9
2016.0,-500,6500,24
2016.0,-500,6750,15
2016.0,-500,7000,21
2016.0,-250,-3250,1
2016.0,-250,-3000,45
2016.0,-250,-2750,1
2016.0,-250,-1250,1
2016.0,-250,-1000,7
2016.0,-250,-250,32
2016.0,-250,0,5
2016.0,-250,500,5
2016.0,-250,750,4
2016.0,-250,1000,11
2016.0,-250,1250,2
2016.0,-250,1500,4
2016.0,-250,1750,5
2016.0,-250,2000,56
2016.0,-250,2250,14
2016.0,-250,2500,24
2016.0,-250,2750,13
2016.0,-250,3000,8
2016.0,-250,3750,20
2016.0,-250,6000,7
2016.0,-250,6500,15
2016.0,-250,6750,2
2016.0,0,-3250,19
