"city","year","floor_area_band","records","floor_area_midpoint","total_records_with_floor_area","share_percent"
"Birmingham","2016","0-25",1638,12.5,16777,9.76336651367944
"Birmingham","2016","150-250",1969,200,16777,11.7363056565536
"Birmingham","2016","1,600-2,500",114,2050,16777,0.679501698754247
"Birmingham","2016","50-75",3257,62.5,16777,19.4134827442332
"Birmingham","2016","400-650",602,525,16777,3.5882458127198
"Birmingham","2016",">4,000",107,5200,16777,0.637777910234249
"Birmingham","2016","100-150",2402,125,16777,14.3172200035763
"Birmingham","2016","1,000-1,600",188,1300,16777,1.12058174882279
"Birmingham","2016","25-50",2987,37.5,16777,17.8041366156047
"Birmingham","2016","250-400",1028,325,16777,6.12743637122251
"Birmingham","2016","2,500-4,000",74,3250,16777,0.441080050068546
"Birmingham","2016","75-100",2061,87.5,16777,12.2846754485307
"Birmingham","2016","650-1,000",350,825,16777,2.08618942599988
"Birmingham","2019","75-100",1893,87.5,14763,12.8225970331233
"Birmingham","2019","650-1,000",266,825,14763,1.8018018018018
"Birmingham","2019","0-25",1429,12.5,14763,9.67960441644652
"Birmingham","2019","150-250",1626,200,14763,11.0140215403373
"Birmingham","2019","1,600-2,500",90,2050,14763,0.609632188579557
"Birmingham","2019","50-75",2989,62.5,14763,20.2465623518255
"Birmingham","2019","400-650",481,525,14763,3.25814536340852
"Birmingham","2019",">4,000",73,5200,14763,0.494479441847863
"Birmingham","2019","100-150",2098,125,14763,14.2112036848879
"Birmingham","2019","1,000-1,600",152,1300,14763,1.02960102960103
"Birmingham","2019","25-50",2763,37.5,14763,18.7157081893924
"Birmingham","2019","250-400",854,325,14763,5.78473210052157
"Birmingham","2019","2,500-4,000",49,3250,14763,0.331910858226648
"Birmingham","2022","250-400",937,325,16018,5.84966912223748
"Birmingham","2022","2,500-4,000",54,3250,16018,0.337120739168436
"Birmingham","2022","75-100",1992,87.5,16018,12.4360094893245
"Birmingham","2022","650-1,000",286,825,16018,1.78549132226245
"Birmingham","2022","0-25",1707,12.5,16018,10.6567611437133
"Birmingham","2022","150-250",1760,200,16018,10.9876389062305
"Birmingham","2022","1,600-2,500",101,2050,16018,0.630540641778
