geocode_name,year,occupation_clean,n
Birmingham,2016,OCCUPIED,9109
Birmingham,2016,UNKNOWN,7491
Birmingham,2016,VACANT,808
Birmingham,2017,OCCUPIED,11247
Birmingham,2017,UNKNOWN,1828
Birmingham,2017,VACANT,1348
Birmingham,2018,OCCUPIED,13166
Birmingham,2018,UNKNOWN,802
Birmingham,2018,VACANT,804
Birmingham,2019,OCCUPIED,12834
Birmingham,2019,UNKNOWN,1492
Birmingham,2019,VACANT,969
Birmingham,2020,OCCUPIED,13214
Birmingham,2020,UNKNOWN,1702
Birmingham,2020,VACANT,1019
Birmingham,2021,OCCUPIED,13143
Birmingham,2021,UNKNOWN,2082
Birmingham,2021,VACANT,1065
Birmingham,2022,OCCUPIED,12990
Birmingham,2022,UNKNOWN,2512
Birmingham,2022,VACANT,1090
Birmingham,2023,OCCUPIED,11031
Birmingham,2023,UNKNOWN,2947
Birmingham,2023,VACANT,667
Birmingham,2024,OCCUPIED,9314
Birmingham,2024,UNKNOWN,5251
Birmingham,2024,VACANT,289
Birmingham,2025,OCCUPIED,7117
Birmingham,2025,UNKNOWN,7701
Birmingham,2025,VACANT,208
Liverpool,2016,OCCUPIED,2686
Liverpool,2016,UNKNOWN,6859
Liverpool,2016,VACANT,374
Liverpool,2017,OCCUPIED,2601
Liverpool,2017,UNKNOWN,4148
Liverpool,2017,VACANT,839
Liverpool,2018,OCCUPIED,6706
Liverpool,2018,UNKNOWN,391
Liverpool,2018,VACANT,774
Liverpool,2019,OCCUPIED,6841
Liverpool,2019,UNKNOWN,993
Liverpool,2019,VACANT,645
Liverpool,2020,OCCUPIED,7147
Liverpool,2020,UNKNOWN,1481
Liverpool,2020,VACANT,608
Liverpool,2021,OCCUPIED,6979
Liverpool,2021,UNKNOWN,1863
Liverpool,2021,VACANT,551
Liverpool,2022,OCCUPIED,6789
Liverpool,2022,UNKNOWN,2204
Liverpool,2022,VACANT,513
Liverpool,2023,OCCUPIED,5777
Liverpool,2023,UNKNOWN,2495
Liverpool,2023,VACANT,280
Liverpool,2024,OCCUPIED,5420
Liverpool,2024,UNKNOWN,2918
Liverpool,2024,VACANT,273
Liverpool,2025,OCCUPIED,5415
Liverpool,2025,UNKNOWN,3039
Liverpool,2025,VACANT,273
