geocode_name,year,retail_units,valid_floor_records,total_floor_area,median_floor_area,q25_floor_area,q75_floor_area,floor_area_coverage_pct
Birmingham,2016,17408,16777,3632706.75,80.9,46.6,157.9,96.37522977941177
Birmingham,2017,14423,0,,,,,0.0
Birmingham,2018,14772,14252,2802153.08,76.985,46.0675,145.5025,96.47982669916058
Birmingham,2019,15295,14763,2920762.33,77.2,45.705,146.5,96.52173913043478
Birmingham,2020,15935,15395,3124872.06,76.69,45.1,146.72,96.61123313460935
Birmingham,2021,16290,15747,3180700.18,76.2,44.5,146.5,96.66666666666667
Birmingham,2022,16592,16018,3305486.49,76.74000000000001,44.5025,147.5075,96.54050144648023
Birmingham,2023,14645,14149,2574806.9000000004,75.6,44.62,142.4,96.61317855923524
Birmingham,2024,14854,14345,2717031.08,75.9,44.8,143.76,96.57331358556618
Birmingham,2025,15026,14514,2770906.17,75.95,44.7,144.2525,96.59257287368561
Liverpool,2016,9919,9155,2202609.49,74.9,39.165000000000006,155.9,92.29761064623449
Liverpool,2017,7588,0,,,,,0.0
Liverpool,2018,7871,7298,1689836.3699999999,79.64,43.925,156.14999999999998,92.72011180282048
Liverpool,2019,8479,7889,1745921.0,74.5,39.37,150.2,93.04163226795613
Liverpool,2020,9236,8623,1840333.7200000002,69.4,34.1,143.85000000000002,93.36292767431789
Liverpool,2021,9393,8780,1847631.97,68.85,33.4,142.83,93.4738635153838
Liverpool,2022,9506,8875,1879894.6600000001,69.37,33.6,143.79500000000002,93.36208710288238
Liverpool,2023,8552,7967,1511308.2199999997,66.2,32.2,136.53,93.15949485500468
Liverpool,2024,8611,8026,1556790.28,66.9,32.41,137.475,93.20636395308327
Liverpool,2025,8727,8133,1596889.5999999999,67.14,32.5,138.14,93.19353729804057
