city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Birmingham,2016,0,578,578,-1.9737007006920413,52.40782171453288,-5966.735537871725,-7721.361095536671,-1.970794,52.413484,-5769.65619620637,-7095.452060000668,1.0,0.4982698961937716,5500.0,76.41,RETAIL_HIGH_STREET,1.0
Birmingham,2016,1,258,258,-1.9565827325581395,52.45855653875969,-4806.1076480739575,-2113.1336255041188,-1.951827,52.458723,-4483.660743148104,-2094.73300000042,1.0,0.5271317829457365,8900.0,83.6,RETAIL_HIGH_STREET,1.0
Birmingham,2016,2,214,214,-1.780560065420561,52.455819271028034,7128.534075662816,-2415.711200561061,-1.780303,52.452891,7145.96355644416,-2739.4022800002053,1.0,0.5233644859813084,8150.0,80.25,RETAIL_HIGH_STREET,1.0
Birmingham,2016,3,277,277,-1.8927786389891692,52.43450454151624,-480.079587959045,-4771.8414007945485,-1.89267,52.434653,-472.71367631793225,-4755.43080000062,1.0,0.5703971119133574,11000.0,82.85,RETAIL_HIGH_STREET,1.0
Birmingham,2016,4,376,376,-1.9243837606382976,52.423323375,-2622.9615795303152,-6007.807547500329,-1.922387,52.424177,-2487.5777496311903,-5913.447840000294,1.0,0.601063829787234,4575.0,67.35,RETAIL_HIGH_STREET,1.0
Birmingham,2016,5,166,166,-1.9353625,52.44294416867469,-3367.339124711988,-3838.925014699093,-1.934613,52.444591,-3316.5217264904827,-3656.884280000031,1.0,0.4939759036144578,5300.0,67.1,RETAIL_HIGH_STREET,1.0
Birmingham,2016,6,347,347,-1.823871060518732,52.560958752161376,4191.973588307035,9206.40704391898,-1.824217,52.560798,4168.5182922694985,9188.637499999497,1.0,0.4812680115273775,13250.0,75.77000000000001,RETAIL_HIGH_STREET,1.0
Birmingham,2016,7,251,251,-1.88354196812749,52.54420031075698,146.18269545508778,7353.928931075363,-1.884414,52.540992,87.05742403790256,6999.282259999989,1.0,0.6135458167330677,5750.0,87.1,RETAIL_HIGH_STREET,1.0
Birmingham,2016,8,166,166,-1.84939593373494,52.54833245783132,2461.342972187881,7810.696468674356,-1.841915,52.5483895,2968.5632372673767,7817.001909999959,1.0,0.5421686746987951,9150.0,76.56,RETAIL_HIGH_STREET,1.0
Birmingham,2016,9,258,258,-1.811685565891473,52.46403414728682,5018.171230734471,-1507.6387789150035,-1.812665,52.462507,4951.763901682117,-1676.449640000075,1.0,0.4263565891472868,6500.0,92.65,RETAIL_HIGH_STREET,1.0
Birmingham,2016,10,757,757,-1.841586455746367,52.52580021664465,2990.8391067406783,5319.982527899306,-1.840272,52.525107,3079.9614831351905,5243.354359999506,1.0,0.5006605019815059,5600.0,72.5,RETAIL_HIGH_STREET,1.0
